Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
What does the Constitution say about clause?,"According to Article 98 (Secretariat of Parliament), 98. Secretariat of Parliament (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common t...",98,keyword_search,intermediate,"federal_structure, governance",clause,,
What does the Constitution say about made?,"According to Article 98 (Secretariat of Parliament), 98. Secretariat of Parliament (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common t...",98,keyword_search,intermediate,"federal_structure, governance",made,,
What does the Constitution say about secretariat?,"According to Article 98 (Secretariat of Parliament), 98. Secretariat of Parliament (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common t...",98,keyword_search,intermediate,"federal_structure, governance",secretariat,,
What is Article 99 of the Indian Constitution?,"Article 99 is titled 'Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s'. 99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscri...",99,overview,basic,governance,,,
What is the title of Article 99?,"Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s",99,title,basic,governance,,,
Explain Article 99 in detail.,"Article 99 (Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s) states: 99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe ...",99,detailed_explanation,intermediate,governance,,,
Which article deals with governance in the Indian Constitution?,"Article 99 (Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s) deals with governance.",99,theme_based,intermediate,governance,,,governance
What does the Constitution say about oath?,"According to Article 99 (Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s), 99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subs...",99,keyword_search,intermediate,governance,oath,,
What does the Constitution say about affirmation?,"According to Article 99 (Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s), 99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subs...",99,keyword_search,intermediate,governance,affirmation,,
What does the Constitution say about members?,"According to Article 99 (Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s), 99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subs...",99,keyword_search,intermediate,governance,members,,
What does the Constitution say about every?,"According to Article 99 (Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s), 99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subs...",99,keyword_search,intermediate,governance,every,,
What does the Constitution say about member?,"According to Article 99 (Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or s), 99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subs...",99,keyword_search,intermediate,governance,member,,
What is Article 100 of the Indian Constitution?,"Article 100 is titled 'Voting in Houses, power of Houses to act notwithstanding vacancies and quorum'. 100. Voting in Houses, power of Houses to act notwithstanding vacancies and quorum (1) Save as otherwise provided in this Constitution, all questions at any sitting of either House or joint sitting...",100,overview,basic,fundamental_rights,,,
